domestication,Accession,Origin,Species,Subspecies,RXSA,TCA,TSA,TSA.RXSA,TSA.TCA,AA,pct.A,CCA,pct.CCA,XVA,CC,CF,RDW,SDW,RDW.SDW,StemDia,Sem,Nod,NodLen,SysDia,AvgDia,Tips,Forks
Teosinte,Ames 21828,"Mexico, Guerrero",Zea mays,parviglumis,1.369,1.044,0.325,0.238,0.313,0.149,14.5,0.896,65.43,0.045,700.8,10.9,2.1,12.4,0.17,15,0.7,19.3,73.7,46,0.4,314.7,900.7
Teosinte,Ames 21829,"Mexico, Guerrero",Zea mays,parviglumis,0.898,0.687,0.211,0.234,0.306,0.065,8.6,0.622,69.3,0.036,516.1,9.7,1.1,9.8,0.11,14,0.7,23.7,75.2,46.3,0.5,198.3,489.3
Teosinte,Ames 21830,"Mexico, Guerrero",Zea mays,parviglumis,1.069,0.807,0.262,0.248,0.331,0.031,3.88,0.776,72.57,0.035,577.8,10.6,2.8,13.3,0.21,12.5,1.5,27.5,88.3,54,0.5,367,1235.5
Teosinte,Ames 21852,unknown,Zea mays,parviglumis,0.671,0.508,0.162,0.242,0.32,0.012,2.46,0.496,73.97,0.025,405,9.3,0.3,5.7,0.05,6,0,7,65,22,0.5,281,699
Teosinte,Ames 21855,unknown,Zea mays,parviglumis,0.667,0.517,0.15,0.226,0.292,0.009,1.77,0.508,76.11,0.028,381.3,7.7,0.2,5.4,0.04,9,0,11,32.5,24,0.5,159,419
Teosinte,Ames 21857,unknown,Zea mays,parviglumis,0.629,0.514,0.115,0.183,0.224,0.075,14.7,0.439,69.76,0.051,394.3,8.7,1.1,10,0.11,18,2,11,75.5,48,0.5,317,648
Teosinte,Ames 21860,"USA, Wisconsin",Zea mays,parviglumis,0.446,0.353,0.093,0.209,0.265,0.007,1.88,0.346,77.62,0.018,349,9.3,0.1,5.9,0.02,7,0,11,61,25,0.4,156,440
Teosinte,Ames 21861,Mexico,Zea mays,parviglumis,0.755,0.574,0.181,0.239,0.315,0.081,14,0.492,65.25,0.037,417.8,9,5.4,0.7,,18,1,30,85,58,0.5,353.5,1278.5
Teosinte,Ames 21869,Mexico,Zea perennis,,0.948,0.765,0.183,0.189,0.235,0.059,7.25,0.706,74.46,0.023,862.8,12.2,1.1,5.9,0.19,11.5,1,24.5,58.3,44,0.9,135.5,437.5
Teosinte,Ames 21872,Mexico,Zea perennis,,0.471,0.379,0.091,0.189,0.235,0,0.1,0.379,80.49,0.014,508.3,9.2,0.2,4.4,0.05,6.5,0,14.5,53.5,40.5,0.5,128,358.5
Teosinte,Ames 21874,Mexico,Zea perennis,,0.597,0.48,0.117,0.197,0.246,0.002,0.34,0.479,80.14,0.018,499.7,9.3,0,4.4,,5,0,5,44,5,0.7,117,549
Teosinte,Ames 21875,Mexico,Zea perennis,,0.757,0.605,0.152,0.215,0.276,0.009,0.81,0.596,78.76,0.02,593.1,10.1,1,5.5,0.18,10.7,0,27.7,44.2,28.3,0.6,137.7,416
Teosinte,Ames 21882,"Mexico, Jalisco",Zea perennis,,1.06,0.841,0.218,0.214,0.273,0.027,3.18,0.815,76.87,0.029,798,11.6,0.8,5.7,0.14,12.3,0.3,28.3,50,26,0.6,166,505.3
Teosinte,Ames 21889,"Mexico, Jalisco",Zea mays,parviglumis,1.376,0.992,0.384,0.271,0.373,0.043,5.91,0.949,68.95,0.051,655.8,11.6,3.4,16.5,0.21,17,0.7,26.3,76.3,67,0.5,464.5,1655
Teosinte,Ames 21894,Mexico,Zea mays,parviglumis,0.54,0.414,0.126,0.234,0.306,0.007,1.68,0.407,75.31,0.028,449.7,9.7,0.5,8.3,0.06,7,0,20,53,56,0.5,177,465
Teosinte,Ames 8083,"Mexico, Federal District",Zea mays,mexicana,0.749,0.555,0.195,0.27,0.372,0.001,0.45,0.553,73.85,0.036,592.5,9.6,4.2,14.9,0.28,21.7,0.3,31,78.5,44.3,0.5,342,1109
Teosinte,NSL 84702,Mexico,Zea mays,mexicana,1.004,0.757,0.247,0.241,0.319,0.06,8.01,0.696,69.34,0.04,651.3,10,0.9,7.8,0.12,14,0,23,72.7,28,0.4,281,834.7
Teosinte,NSL 84703,Mexico,Zea mays,mexicana,0.564,0.423,0.141,0.251,0.335,0.009,2.15,0.414,73.4,0.033,492.8,8.9,1.2,9.2,0.13,19,0.3,24.3,74.2,49.3,0.4,184.3,527.7
Teosinte,NSL 86670,Mexico,Zea mays,mexicana,0.856,0.647,0.209,0.247,0.33,0.068,8.87,0.578,67.58,0.04,583.3,10,2.3,13.7,0.17,16.7,0.3,26,82.2,47.3,0.6,153.7,357.7
