is_no,pi,Latitude,Longitude
IS25575,PI585607,-1.929999948,30.05999947
IS25576,PI585608,-1.929999948,30.05999947
IS25577,PI585609,-2.160000086,30.54000092
IS25790,PI609918,13.43000031,-11.35999966
IS25791,PI609919,13.43000031,-11.35999966
IS25876,PI610034,12.51000023,-8.270000458
IS25919,PI609094,13.30000019,-6.210000038
IS26149,PI609200,13.71000004,-6.409999847
IS26401,PI585971,7.559999943,1.019999981
IS26413,PI585981,7.300000191,1.909999967
IS26416,PI585984,7.659999847,2.180000067
IS26418,PI585985,7.659999847,2.180000067
IS26421,PI585987,8.010000229,2.230000019
IS26423,PI585989,8.4333339,2.5833335
IS26425,PI585991,8.479999542,2.430000067
IS26426,PI585992,8.880000114,2.599999905
IS26439,PI586000,10.21000004,3.160000086
IS26459,PI586008,10.05000019,2.630000114
IS26620,PI586028,-13.75,25.75
IS26630,PI586032,-13,25.25
IS26632,PI586033,-13.17000008,24.75
IS26637,PI586034,-12.25,25.5
IS26640,PI586035,-10.17000008,28.75
IS26643,PI586036,-9.5,30.07999992
IS26647,PI586037,-12.18000031,26.39999962
IS26649,PI586038,-12.18000031,26.39999962
IS26651,PI586039,-12.18000031,26.39999962
IS26653,PI586040,-13.82999992,25.75
IS26656,PI586041,-13.75,25.5
IS26657,PI586042,-13.75,25.5
IS26682,PI586052,-15.72999954,34.40000153
IS26685,PI586054,-15.78999996,34.99000168
IS26849,PI570393,4.019999981,32.47000122
IS27044,PI646223,10.32999992,5.380000114
IS27297,PI586107,14.05000019,-0.720000029
IS27298,PI586108,14.05000019,-0.720000029
IS27299,PI586109,14.05000019,-0.720000029
IS27300,PI586110,14.02999973,-0.50999999
IS27301,PI586111,14.31000042,-0.730000019
IS27302,PI586112,14.35000038,-0.409999996
IS27303,PI586113,14.35000038,-0.409999996
IS27304,PI586114,14.18000031,-0.230000004
IS27305,PI586115,14.18000031,-0.230000004
IS27307,PI586117,14.02999973,0.029999999
IS27308,PI586118,13.43000031,0.529999971
IS27309,PI586119,13.43000031,0.649999976
IS27310,PI586120,13.43000031,0.649999976
IS27315,PI586123,14.02999973,0.029999999
IS27316,PI586124,14.02999973,0.029999999
IS27320,PI586128,12.82999992,-2.230000019
IS27329,PI586137,14.43000031,-0.75999999
IS27333,PI586141,13.76000023,-2.069999933
IS27334,PI586142,13.76000023,-2.069999933
IS27339,PI586147,13.57999992,-2.420000076
IS27340,PI586148,13.76000023,-2.069999933
IS27342,PI586150,14.01000023,-1.700000048
IS27343,PI586151,13.90999985,-1.629999995
IS27345,PI586153,13.59000015,-1.700000048
IS27346,PI586154,13.60999966,-1.799999952
IS27347,PI586155,13.57999992,-2.420000076
IS27349,PI586156,13.5,-1.909999967
IS27350,PI586157,13.44999981,-1.960000038
IS27351,PI586158,13.44999981,-1.960000038
IS27352,PI586159,13.27999973,-1.710000038
IS27353,PI586160,13.27999973,-1.710000038
IS27354,PI586161,13.31000042,-1.529999971
IS27356,PI586162,13.31000042,-1.529999971
IS27357,PI586163,11.07999992,-0.589999974
IS27358,PI586164,11.07999992,-0.589999974
IS27359,PI586165,12.57999992,-1.299999952
IS27360,PI586166,12.19999981,-0.600000024
IS27361,PI586167,11.69999981,-1.330000043
IS27362,PI586168,11.69999981,-1.330000043
IS27363,PI586169,11.69999981,-1.330000043
IS27366,PI586172,12.52999973,-0.5
IS27367,PI586173,12.52999973,-0.5
IS27368,PI586174,12.64999962,-0.569999993
IS27369,PI586175,12.64999962,-0.569999993
IS27370,PI586176,12.64999962,-0.569999993
IS27373,PI586178,12.52999973,-0.029999999
IS27374,PI586179,12.52999973,-0.029999999
IS27377,PI586181,12.47999954,1.519999981
IS27378,PI586182,12.47999954,1.519999981
IS27379,PI586183,12.43000031,1.580000043
IS27380,PI586184,12.06999969,1.779999971
IS27381,PI586185,12.06999969,1.779999971
IS27399,PI586201,11.75,-1.019999981
IS27403,PI586205,11.10000038,-0.980000019
IS27437,PI586239,13.22999954,-1.860000014
IS27458,PI586259,13.35999966,-2.700000048
IS27474,PI586272,13.22999954,-3.160000086
IS27562,PI586356,10.27999973,-3.25999999
IS27563,PI586357,10.27999973,-3.25999999
IS27565,PI586359,11.93000031,-1.460000038
IS27566,PI586360,11.93000031,-1.460000038
IS27567,PI586361,11.93000031,-1.460000038
IS27568,PI586362,11.93000031,-1.460000038
IS27569,PI586363,12.32999992,-2.160000086
IS27570,PI586364,12.32999992,-2.160000086
IS27572,PI586365,12,-2.210000038
IS27573,PI586366,12.69999981,-2.099999905
IS27574,PI586367,12.69999981,-2.099999905
IS27575,PI586368,11.64999962,-2.180000067
IS27576,PI586369,11.64999962,-2.180000067
IS27577,PI586370,12.10000038,-2.099999905
IS27578,PI586371,11.26000023,-2.099999905
IS27581,PI586374,11.19999981,-2.019999981
IS27591,PI586377,12.07999992,15.02999973
IS27592,PI586378,12.07999992,15.02999973
IS27604,PI586387,12.56999969,14.44999981
IS27605,PI586388,12.56999969,14.44999981
IS27611,PI586394,12.47999954,14.44999981
IS27620,PI586403,11.03999996,14.14000034
IS27667,PI586404,10.73999977,13.81000042
IS27668,PI586405,10.73999977,13.81000042
IS27856,PI586464,-25.20000076,31.20000076
IS27857,PI586465,-25.20000076,31.20000076
IS27860,PI586466,-29.60000038,30.37999916
IS27861,PI586467,-29.60000038,30.37999916
IS27867,PI586470,-28.56999969,31.05999947
IS27868,PI586471,-28.56999969,31.05999947
IS27869,PI586472,-28.38999939,29.95000076
IS27870,PI586473,-28.38999939,29.95000076
IS27873,PI586476,-23.31999969,30.70999908
IS27874,PI586477,-23.31999969,30.70999908
IS27877,PI586479,-22.85000038,30.79000092
IS27878,PI586480,-22.85000038,30.79000092
IS27879,PI586481,-22.73999977,30.89999962
IS27880,PI586482,-22.73999977,30.89999962
IS27881,PI586483,-22.73999977,30.89999962
IS27893,PI586493,-24.19000053,29.5
IS27899,PI586498,-23.78000069,29.09000015
IS27900,PI586499,-23.60000038,29.15999985
IS27901,PI586500,-23.60000038,29.15999985
IS27902,PI586501,-23.60000038,29.15999985
IS27906,PI586503,-26,29.76000023
IS27913,PI586510,-23.45999908,29.80999947
IS27914,PI586511,-23.45999908,29.80999947
IS29659,PI619639,-5.010000229,33.09000015
IS29660,PI619640,-5.340000153,30.39999962
IS29661,PI619641,-5.420000076,32.97999954
IS29662,PI619642,-5.070000172,32.38000107
IS29663,PI619643,-3.589999914,33.09000015
IS3033,PI267621,7.599999905,37.20999908
IS30896,PI646230,1.450000048,33.45000076
IS30898,PI646231,1.860000014,33.75
IS30902,PI619688,1.919999957,33.95000076
IS30903,PI619689,1.919999957,33.95000076
IS30908,PI646233,2.019999981,33.63000107
IS30910,PI619695,1.450000048,33.45000076
IS30911,PI619696,1.5,33.25
IS30912,PI619697,1.5,33.25
IS30913,PI646234,1.5,33.25
IS30914,PI619698,1.5,33.45000076
IS30918,PI619701,1.909999967,33.29999924
IS30919,PI619702,1.909999967,33.29999924
IS30923,PI646236,1.799999952,32.83000183
IS30931,PI619713,1.6923918,33.3161051
IS30934,PI619716,0.569999993,31.72999954
IS30937,PI619719,1.980000019,32.97999954
IS30938,PI619720,1.980000019,32.97999954
IS30939,PI619721,1.980000019,32.97999954
IS30951,PI619733,1.700000048,32.08000183
IS30952,PI646237,1.700000048,32.08000183
IS30953,PI619734,1.700000048,32.08000183
IS30954,PI619735,1.700000048,32.08000183
IS30958,PI646239,1.470000029,32.29999924
IS30961,PI646240,1.850000024,32.36000061
IS30969,PI646241,2.25,32.90000153
IS30975,PI646242,2.150000095,33.25
IS30979,PI646243,2.150000095,33.25
IS30982,PI620610,2.150000095,33.25
IS30992,PI620611,2.230000019,32.58000183
IS30997,PI619765,2.470000029,33.20000076
IS31006,PI646245,2.730000019,33.47999954
IS31009,PI646246,2.630000114,33.47999954
IS31010,PI619773,3,33.25
IS31028,PI646247,3.369999886,33.04999924
IS31030,PI646248,3.329999924,32.52999878
IS31033,PI646249,3.150000095,32.88000107
IS31047,PI619807,3.349999905,33.33000183
IS31048,PI646250,3.25,33.27000046
IS31054,PI619813,3.150000095,32.88000107
IS31057,PI619816,3.119999886,32.15000153
IS31059,PI646251,2.779999971,32.29999924
IS3106,PI213900,-1.169999957,36.47999954
IS31062,PI646252,2.779999971,32.29999924
IS31073,PI619829,2.099999905,32.16999817
IS31074,PI619830,2.099999905,32.16999817
IS31081,PI646254,2.619999886,31.93000031
IS31083,PI619838,2.619999886,31.93000031
IS31092,PI646255,2.480000019,31.07999992
IS31093,PI646256,2.480000019,31.07999992
IS31100,PI646259,2.410000086,30.97999954
IS31101,PI646260,2.410000086,30.97999954
IS31104,PI646261,2.519999981,30.92000008
IS31106,PI646262,2.519999981,30.92000008
IS31107,PI646263,2.5,30.79999924
IS31109,PI646264,2.5,30.79999924
IS31113,PI646266,3.019999981,30.92000008
IS31115,PI646267,3.019999981,30.92000008
IS31123,PI619860,3.160000086,30.92000008
IS31126,PI619863,2.569999933,31.21999931
IS31127,PI646271,3.049999952,31.03000069
IS31150,PI619879,2.299999952,31.20000076
IS31151,PI646279,2.299999952,31.20000076
IS31162,PI646280,2.25999999,32.88999939
IS31163,PI646281,2.25999999,32.88999939
IS31165,PI619890,2.25999999,32.88999939
IS31168,PI646283,1.049999952,34.02000046
IS31173,PI620615,1.149999976,34.20000076
IS31174,PI619896,1.149999976,34.20000076
IS31175,PI619897,1.049999952,34.29999924
IS31180,PI619901,0.839999974,34.16999817
IS31181,PI619902,0.839999974,34.16999817
IS31182,PI619903,0.730000019,34.09999847
IS31183,PI620617,0.730000019,34.09999847
IS31184,PI619904,1.299999952,34.15000153
IS31199,PI646289,1.169999957,34
IS31203,PI646290,0.589999974,33.09000015
IS31206,PI646291,1.029999971,34.06000137
IS31207,PI646292,0.07,33.54000092
IS31210,PI646293,1.049999952,33.75
IS31212,PI619920,0.469999999,33.45000076
IS31213,PI619921,0.300000012,33.54999924
IS31220,PI619928,0.319999993,33.97999954
IS31221,PI646294,0.319999993,33.97999954
IS31223,PI619930,0.300000012,33.34999847
IS31225,PI619932,0.300000012,33.34999847
IS31226,PI619933,0.560000002,33.29999924
IS31228,PI619935,0.349999994,33.5
IS31231,PI619938,1.350000024,33.40000153
IS31232,PI619939,1.350000024,33.40000153
IS31234,PI619941,1.399999976,33.5
IS31243,PI619950,1.350000024,33.5
IS31244,PI646295,1.580000043,33.90000153
IS31249,PI619955,1.480000019,33.93000031
IS31250,PI619956,1.480000019,33.93000031
IS31252,PI619958,1.200000048,33.54000092
IS31253,PI619959,1.200000048,33.54000092
IS31254,PI619960,1.200000048,33.54000092
IS31256,PI646296,1.220000029,33.40000153
IS31257,PI619962,1.220000029,33.40000153
IS31262,PI646297,-0.649999976,30.64999962
IS31267,PI619970,-0.600000024,30.64999962
IS31269,PI619972,-0.600000024,30.64999962
IS31275,PI619978,-0.449999988,30.39999962
IS31278,PI619981,-0.449999988,30.39999962
IS31279,PI619982,-0.419999987,30.27000046
IS31280,PI619983,-0.419999987,30.27000046
IS31283,PI619986,1.299999952,30.56999969
IS31284,PI619987,-1.279999971,29.68000031
IS31285,PI619988,-1.279999971,29.68000031
IS31286,PI619989,-1.279999971,29.68000031
IS31291,PI619994,-1.129999995,29.70000076
IS31305,PI620007,-0.850000024,30
IS31319,PI646303,-0.800000012,29.92000008
IS31323,PI620020,-0.800000012,29.92000008
IS31325,PI646304,-0.720000029,29.85000038
IS31328,PI620024,-0.600000024,29.79999924
IS31331,PI620026,-0.600000024,29.79999924
IS31359,PI646306,-0.140000001,30.05999947
IS31360,PI620050,-0.140000001,30.05999947
IS31364,PI646307,-0.109999999,30.07999992
IS31367,PI620055,0.310000002,30.15999985
IS31384,PI620072,-0.02,29.77000046
IS31396,PI620083,0.129999995,30.06999969
IS31399,PI620086,0.159999996,30.10000038
IS31403,PI620090,0.170000002,30.11000061
IS31405,PI620092,0.230000004,30.09000015
IS31407,PI620094,0.189999998,30.10000038
IS31410,PI620097,0.180000007,30.22999954
IS31417,PI620102,0.200000003,30.10000038
IS31420,PI620105,0.219999999,30.12000084
IS31421,PI620106,0.219999999,30.12000084
IS31425,PI620110,0.289999992,30.10000038
IS31426,PI620111,0.670000017,30.28000069
IS31427,PI620112,0.670000017,30.28000069
IS31434,PI620119,0.4561088,31.0348037
IS31435,PI620120,0.4561088,31.0348037
IS31436,PI620121,0.270000011,31.20000076
IS31437,PI620122,0.270000011,31.20000076
IS31444,PI620129,0.150000006,30.29999924
IS31455,PI646312,0.419999987,30.07999992
IS31456,PI620140,0.419999987,30.07999992
IS31462,PI646313,0.479999989,30.14999962
IS31468,PI620150,0.370000005,30.10000038
IS31474,PI620156,0.449999988,30.20000076
IS31475,PI620157,0.449999988,30.20000076
IS31484,PI646315,0.059999999,30.23999977
IS31492,PI620624,0.300000012,31.15999985
IS31495,PI620173,0.280000001,31.18000031
IS31496,PI646316,0.200000003,31.39999962
IS31497,PI646317,0.200000003,31.39999962
IS31500,PI646319,0.209999993,31.38999939
IS31501,PI646320,0.419999987,31.29999924
IS31507,PI620180,-0.980000019,31.40999985
IS31508,PI620181,-0.980000019,31.40999985
IS31511,PI646321,-0.419999987,31.29999924
IS31512,PI646322,-0.720000029,31.39999962
IS31515,PI646323,-0.720000029,31.39999962
IS31518,PI646324,-0.319999993,31.12000084
IS31521,PI646325,-0.319999993,31.12000084
IS32820,PI620367,-7.409999847,36.97000122
IS32821,PI620368,-6.96999979,36.90000153
IS32823,PI620369,-6.820000172,37.65999985
IS32824,PI620370,-6.150000095,36.86000061
IS32825,PI620371,-6.820000172,37.65999985
IS32826,PI620372,-6.269999981,36.86999893
IS32829,PI620373,-6.170000076,35.74000168
IS32831,PI620375,-6.28000021,36.75
IS32832,PI620376,-6.329999924,36.65999985
IS32833,PI620377,-6.329999924,36.65999985
IS32838,PI620382,-6.199999809,36.40999985
IS32839,PI620383,-6.199999809,36.40999985
