Accession ID,Species,Original producing area,Latitude,Longitude,Sequencing Coverage,Ecotype
HP318,O. sativa,China,32.43,119.55,0.64,indica
HP319,O. sativa,China,32.03,118.46,0.97,indica
HP320,O. sativa,China,32.93,119.82,0.71,indica
HP321,O. sativa,China,30.07,118.57,0.71,indica
HP322,O. sativa,China,30.64,117.84,1.01,indica
HP323,O. sativa,China,31.52,117.17,0.87,indica
HP324,O. sativa,China,31.04,116.94,1.39,indica
HP325,O. sativa,China,31.04,116.94,1.1,indica
HP326,O. sativa,China,31.64,104.41,1.24,indica
HP327,O. sativa,China,23.4,113.19,0.59,indica
HP328,O. sativa,China,23.75,106.9,0.76,indica
HP329,O. sativa,China,32.62,114.38,0.88,indica
HP330,O. sativa,China,25.39,105.63,0.76,temperate japonica
HP331,O. sativa,China,28.6,112.33,1.14,temperate japonica
HP332,O. sativa,China,28.37,112.8,0.98,indica
HP333,O. sativa,China,28.16,113.63,1.91,indica
HP334,O. sativa,China,29.71,113.56,1.42,indica
HP335,O. sativa,China,29.71,113.56,1.27,indica
HP336,O. sativa,China,29.41,112.16,1.04,indica
HP337,O. sativa,China,29.41,111.09,0.95,indica
HP338,O. sativa,China,28.12,112.59,1.49,indica
HP339,O. sativa,China,19.52,109.57,1.41,indica
HP340,O. sativa,China,19.91,109.69,1.23,indica
HP341,O. sativa,China,19.91,109.69,0.78,indica
HP342,O. sativa,China,19.91,109.69,1.18,indica
HP343,O. sativa,China,19.98,110.33,1.74,indica
HP344,O. sativa,China,19.61,110.72,1.02,indica
HP345,O. sativa,China,23.08,113.14,1.01,intermedia
HP346,O. sativa,China,21.43,110.78,0.89,indica
HP347,O. sativa,China,21.52,110.99,1.09,indica
HP348,O. sativa,China,21.39,110.24,1.37,indica
HP349,O. sativa,China,22.16,111.78,0.81,indica
HP350,O. sativa,China,21.71,112.76,0.9,indica
HP351,O. sativa,China,23.45,111.48,0.92,indica
HP352,O. sativa,China,23.18,114.28,0.8,indica
HP353,O. sativa,China,23.07,116.29,0.73,indica
HP354,O. sativa,China,22.95,117.64,0.93,indica
HP355,O. sativa,China,21.95,100.5,1.11,indica
HP356,O. sativa,China,23.56,99.41,1.02,indica
HP357,O. sativa,China,23.7,113.01,1.37,indica
HP358,O. sativa,China,33.23,107.56,0.78,temperate japonica
HP359,O. sativa,China,33.16,106.68,0.88,indica
HP360,O. sativa,China,33,106.93,0.74,indica
HP361,O. sativa,China,33,106.93,0.91,indica
HP362,O. sativa,China,32.82,106.25,0.66,indica
HP363,O. sativa,China,33.65,106.95,0.84,temperate japonica
HP364,O. sativa,China,32.83,109.35,0.64,indica
HP365,O. sativa,China,29.86,117.7,0.57,indica
HP366,O. sativa,China,29.37,112.39,0.88,indica
HP367,O. sativa,China,33,106.93,0.92,indica
HP368,O. sativa,China,29.37,112.39,0.93,indica
HP369,O. sativa,China,31.64,104.41,0.79,indica
HP370,O. sativa,China,34.62,108.94,1.8,temperate japonica
HP371,O. sativa,China,35.6,109.27,0.99,temperate japonica
HP372,O. sativa,China,34.65,107.13,0.71,temperate japonica
HP373,O. sativa,China,32.7,109.02,0.66,indica
HP374,O. sativa,China,33.16,107.32,0.76,indica
HP375,O. sativa,China,32.3,108.89,1.4,temperate japonica
HP376,O. sativa,China,32.83,109.35,0.5,temperate japonica
HP377,O. sativa,China,32.83,109.35,0.68,indica
HP378,O. sativa,China,32.41,109.37,0.9,temperate japonica
HP379,O. sativa,China,33.34,108.33,1.54,indica
HP380,O. sativa,China,34.17,108.57,1.12,indica
HP381,O. sativa,China,39.48,115.98,0.79,intermedia
HP382,O. sativa,China,36.4,117,0.63,temperate japonica
HP383,O. sativa,China,32.13,114.08,0.7,indica
HP384,O. sativa,China,32.83,114.02,0.99,temperate japonica
HP385,O. sativa,China,34.79,114.35,0.54,temperate japonica
HP386,O. sativa,China,34.75,101.62,1.4,indica
HP387,O. sativa,China,25.69,117.83,0.58,indica
HP388,O. sativa,China,25.58,115.79,0.77,temperate japonica
HP389,O. sativa,China,25.58,115.79,0.53,temperate japonica
HP390,O. sativa,China,23.08,113.14,0.54,temperate japonica
HP391,O. sativa,China,30.24,115.3,1.31,temperate japonica
HP392,O. sativa,China,27.7,106.9,0.8,indica
HP393,O. sativa,China,30.35,114.17,1.64,indica
HP394,O. sativa,China,30.35,114.17,1.4,indica
HP395,O. sativa,China,30.35,114.17,0.71,indica
HP396,O. sativa,China,28.16,113.63,0.68,indica
HP397,O. sativa,China,28.38,111.2,0.9,indica
HP398,O. sativa,China,28.38,111.2,1.32,temperate japonica
HP399,O. sativa,China,27.73,111.29,0.8,indica
HP400,O. sativa,China,27.73,111.29,0.89,indica
HP401,O. sativa,China,27.44,112.18,0.93,temperate japonica
HP402,O. sativa,China,28.12,112.59,0.63,temperate japonica
HP403,O. sativa,China,26.46,106.98,0.52,temperate japonica
HP404,O. sativa,China,26.49,107.58,0.99,temperate japonica
HP405,O. sativa,China,27.03,106.04,1.16,indica
HP406,O. sativa,China,26.35,106.42,1.23,temperate japonica
HP407,O. sativa,China,26.49,107.58,1.01,indica
HP408,O. sativa,China,27.06,108.41,2.06,indica
HP409,O. sativa,China,27.03,108.11,0.92,indica
HP410,O. sativa,China,26.24,109.14,0.89,indica
HP411,O. sativa,China,25.03,121.3,1.09,indica
HP412,O. sativa,China,22.69,109.2,0.66,indica
HP413,O. sativa,China,23.08,107.12,0.64,indica
HP414,O. sativa,China,23.18,107.68,0.99,indica
HP415,O. sativa,China,22.85,107.21,0.52,indica
HP416,O. sativa,China,22.85,107.21,0.81,indica
HP417,O. sativa,China,22.64,110.14,1.47,indica
HP418,O. sativa,China,25.78,110.02,0.84,indica
HP419,O. sativa,China,25.1,104.91,1.25,indica
HP420,O. sativa,China,25.44,105.18,0.77,indica
HP421,O. sativa,China,25.12,117.01,1.26,temperate japonica
HP422,O. sativa,China,21.95,100.5,0.86,indica
HP423,O. sativa,China,25.04,102.42,1.44,indica
HP424,O. sativa,China,25.17,106.09,0.7,indica
HP425,O. sativa,China,26.35,106.42,0.51,temperate japonica
HP426,O. sativa,China,31.22,121.48,0.86,temperate japonica
HP427,O. sativa,China,31.13,104.37,1.2,indica
HP428,O. sativa,China,30.35,114.17,1.36,indica
HP429,O. sativa,China,30.35,114.17,1.06,indica
HP430,O. sativa,China,30.35,114.17,0.84,indica
HP431,O. sativa,China,30.24,115.3,1.07,indica
HP432,O. sativa,China,30.88,104.32,0.93,indica
HP433,O. sativa,China,30.2,103.29,0.8,indica
HP434,O. sativa,China,31.32,104.19,0.82,indica
HP435,O. sativa,China,26.67,102.21,0.89,indica
HP436,O. sativa,China,27.07,102.76,0.75,temperate japonica
HP437,O. sativa,China,29.24,104.97,1.27,indica
HP438,O. sativa,China,31.86,117.27,0.55,indica
